"""세젤예""","""세젤예""","""소확행""","""소확행""","""엄근진""","""엄근진""","""엄크""","""엄크""","""담타""","""담타"""
연/월,"""세젤예""_빈도수",연/월,"""소확행""_빈도수",연/월,"""엄근진""_빈도수",연/월,"""엄크""_빈도수",연/월,"""담타""_빈도수"
2013/09,0.0,,,,,2013/09,85,,
2013/10,2.0,,,,,2013/10,96,,
2013/11,1.0,,,,,2013/11,98,,
2013/12,1.0,,,,,2013/12,106,,
2014/01,4.0,,,,,2014/01,119,,
2014/02,8.0,,,,,2014/02,93,,
2014/03,7.0,,,,,2014/03,82,,
2014/04,3.0,2014/04,0.0,,,2014/04,81,,
2014/05,18.0,2014/05,3.0,,,2014/05,83,,
2014/06,53.0,2014/06,7.0,,,2014/06,85,,
2014/07,65.0,2014/07,4.0,,,2014/07,95,,
2014/08,67.0,2014/08,6.0,,,2014/08,103,2014/08,0.0
2014/09,70.0,2014/09,7.0,,,2014/09,74,2014/09,3.0
2014/10,68.0,2014/10,1.0,,,2014/10,91,2014/10,5.0
2014/11,82.0,2014/11,2.0,,,2014/11,91,2014/11,1.0
2014/12,84.0,2014/12,4.0,,,2014/12,84,2014/12,5.0
2015/01,94.0,2015/01,10.0,,,2015/01,94,2015/01,3.0
2015/02,87.0,2015/02,2.0,,,2015/02,83,2015/02,1.0
2015/03,83.0,2015/03,2.0,,,2015/03,86,2015/03,4.0
2015/04,83.0,2015/04,1.0,,,2015/04,82,2015/04,4.0
2015/05,100.0,2015/05,11.0,,,2015/05,82,2015/05,9.0
2015/06,100.0,2015/06,7.0,,,2015/06,68,2015/06,7.0
2015/07,124.0,2015/07,25.0,,,2015/07,72,2015/07,4.0
2015/08,145.0,2015/08,10.0,2015/08,0.0,2015/08,72,2015/08,4.0
2015/09,150.0,2015/09,11.0,2015/09,1.0,2015/09,81,2015/09,4.0
2015/10,150.0,2015/10,16.0,2015/10,8.0,2015/10,88,2015/10,3.0
2015/11,150.0,2015/11,5.0,2015/11,12.0,2015/11,73,2015/11,5.0
2015/12,150.0,2015/12,4.0,2015/12,18.0,2015/12,81,2015/12,9.0
2016/01,150.0,2016/01,6.0,2016/01,31.0,2016/01,95,2016/01,4.0
2016/02,150.0,2016/02,4.0,2016/02,60.0,2016/02,91,2016/02,6.0
2016/03,150.0,2016/03,9.0,2016/03,66.0,2016/03,70,2016/03,9.0
2016/04,150.0,2016/04,9.0,2016/04,70.0,2016/04,70,2016/04,6.0
2016/05,150.0,2016/05,23.0,2016/05,84.0,2016/05,73,2016/05,6.0
2016/06,150.0,2016/06,13.0,2016/06,78.0,2016/06,72,2016/06,8.0
2016/07,150.0,2016/07,32.0,2016/07,115.0,2016/07,75,2016/07,11.0
2016/08,150.0,2016/08,18.0,2016/08,120.0,2016/08,76,2016/08,11.0
2016/09,150.0,2016/09,11.0,2016/09,102.0,2016/09,69,2016/09,12.0
2016/10,150.0,2016/10,18.0,2016/10,139.0,2016/10,76,2016/10,7.0
2016/11,150.0,2016/11,12.0,2016/11,147.0,2016/11,55,2016/11,6.0
2016/12,150.0,2016/12,11.0,2016/12,121.0,2016/12,62,2016/12,11.0
2017/01,150.0,2017/01,19.0,2017/01,135.0,2017/01,66,2017/01,5.0
2017/02,150.0,2017/02,14.0,2017/02,146.0,2017/02,62,2017/02,5.0
2017/03,150.0,2017/03,14.0,2017/03,135.0,2017/03,62,2017/03,9.0
2017/04,150.0,2017/04,11.0,2017/04,138.0,2017/04,57,2017/04,16.0
2017/05,150.0,2017/05,23.0,2017/05,140.0,2017/05,59,2017/05,8.0
2017/06,150.0,2017/06,11.0,2017/06,123.0,2017/06,62,2017/06,16.0
2017/07,150.0,2017/07,35.0,2017/07,139.0,2017/07,58,2017/07,15.0
2017/08,150.0,2017/08,51.0,2017/08,150.0,2017/08,61,2017/08,25.0
2017/09,150.0,2017/09,39.0,2017/09,139.0,2017/09,56,2017/09,73.0
2017/10,150.0,2017/10,50.0,2017/10,150.0,2017/10,60,2017/10,48.0
2017/11,150.0,2017/11,146.0,2017/11,128.0,2017/11,56,2017/11,27.0
2017/12,150.0,2017/12,150.0,2017/12,133.0,2017/12,54,2017/12,25.0
2018/01,150.0,2018/01,150.0,2018/01,150.0,2018/01,65,2018/01,22.0
2018/02,150.0,2018/02,150.0,2018/02,150.0,2018/02,60,2018/02,10.0
2018/03,150.0,2018/03,150.0,2018/03,150.0,2018/03,62,2018/03,13.0
2018/04,150.0,2018/04,150.0,2018/04,150.0,2018/04,62,2018/04,9.0
2018/05,150.0,2018/05,150.0,2018/05,150.0,2018/05,58,2018/05,17.0
2018/06,150.0,2018/06,150.0,2018/06,150.0,2018/06,57,2018/06,20.0
2018/07,150.0,2018/07,150.0,2018/07,150.0,2018/07,62,2018/07,18.0
2018/08,150.0,2018/08,150.0,2018/08,150.0,2018/08,53,2018/08,21.0
2018/09,150.0,2018/09,150.0,2018/09,150.0,2018/09,54,2018/09,24.0
2018/10,150.0,2018/10,150.0,2018/10,150.0,2018/10,52,2018/10,26.0
2018/11,150.0,2018/11,150.0,2018/11,150.0,2018/11,46,2018/11,33.0
2018/12,150.0,2018/12,150.0,2018/12,150.0,2018/12,45,2018/12,26.0
2019/01,150.0,2019/01,150.0,2019/01,150.0,2019/01,63,2019/01,24.0
2019/02,150.0,2019/02,150.0,2019/02,150.0,2019/02,60,2019/02,25.0
2019/03,150.0,2019/03,150.0,2019/03,150.0,2019/03,55,2019/03,31.0
2019/04,150.0,2019/04,150.0,2019/04,150.0,2019/04,33,2019/04,33.0
2019/05,150.0,2019/05,150.0,2019/05,150.0,2019/05,28,2019/05,25.0
2019/06,150.0,2019/06,150.0,2019/06,150.0,2019/06,37,2019/06,25.0
2019/07,150.0,2019/07,150.0,2019/07,150.0,2019/07,45,2019/07,46.0
2019/08,150.0,2019/08,150.0,2019/08,150.0,2019/08,51,2019/08,34.0
2019/09,150.0,2019/09,150.0,2019/09,150.0,2019/09,36,2019/09,31.0
2019/10,150.0,2019/10,150.0,2019/10,150.0,2019/10,35,2019/10,46.0
2019/11,150.0,2019/11,150.0,2019/11,150.0,2019/11,28,2019/11,28.0
2019/12,150.0,2019/12,150.0,2019/12,150.0,2019/12,56,2019/12,33.0
2020/01,150.0,2020/01,150.0,2020/01,150.0,2020/01,42,2020/01,32.0
2020/02,150.0,2020/02,150.0,2020/02,150.0,2020/02,57,2020/02,37.0
2020/03,150.0,2020/03,150.0,2020/03,150.0,2020/03,62,2020/03,49.0
2020/04,150.0,2020/04,150.0,2020/04,150.0,2020/04,59,2020/04,44.0
2020/05,150.0,2020/05,150.0,2020/05,150.0,2020/05,56,2020/05,43.0
2020/06,150.0,2020/06,150.0,2020/06,150.0,2020/06,57,2020/06,59.0
2020/07,150.0,2020/07,150.0,2020/07,150.0,2020/07,60,2020/07,75.0
2020/08,150.0,2020/08,150.0,2020/08,150.0,2020/08,66,2020/08,75.0
2020/09,150.0,2020/09,150.0,2020/09,150.0,2020/09,64,2020/09,51.0
2020/10,150.0,2020/10,150.0,2020/10,150.0,2020/10,67,2020/10,71.0
2020/11,150.0,2020/11,150.0,2020/11,150.0,2020/11,60,2020/11,68.0
2020/12,150.0,2020/12,150.0,2020/12,150.0,2020/12,59,2020/12,66.0
2021/01,150.0,2021/01,150.0,2021/01,150.0,2021/01,63,2021/01,57.0
2021/02,150.0,2021/02,150.0,2021/02,150.0,2021/02,62,2021/02,63.0
2021/03,150.0,2021/03,150.0,2021/03,150.0,2021/03,58,2021/03,63.0
2021/04,150.0,2021/04,150.0,2021/04,150.0,2021/04,68,2021/04,74.0
2021/05,150.0,2021/05,150.0,2021/05,150.0,2021/05,69,2021/05,127.0
2021/06,150.0,2021/06,150.0,2021/06,150.0,2021/06,63,2021/06,94.0
2021/07,150.0,2021/07,150.0,2021/07,150.0,2021/07,64,2021/07,103.0
2021/08,150.0,2021/08,150.0,2021/08,150.0,2021/08,50,2021/08,104.0
2021/09,150.0,2021/09,150.0,2021/09,150.0,2021/09,50,2021/09,110.0
2021/10,150.0,2021/10,150.0,2021/10,150.0,2021/10,48,2021/10,112.0
2021/11,150.0,2021/11,150.0,2021/11,150.0,2021/11,48,2021/11,122.0
2021/12,150.0,2021/12,150.0,2021/12,150.0,2021/12,50,2021/12,123.0
2022/01,150.0,2022/01,150.0,2022/01,150.0,2022/01,47,2022/01,110.0
2022/02,150.0,2022/02,150.0,2022/02,150.0,2022/02,63,2022/02,109.0
2022/03,150.0,2022/03,150.0,2022/03,150.0,2022/03,60,2022/03,118.0
2022/04,150.0,2022/04,150.0,2022/04,150.0,2022/04,60,2022/04,125.0
2022/05,150.0,2022/05,150.0,2022/05,150.0,2022/05,48,2022/05,121.0
2022/06,150.0,2022/06,150.0,2022/06,150.0,2022/06,49,2022/06,125.0
2022/07,150.0,2022/07,150.0,2022/07,150.0,2022/07,51,2022/07,121.0
2022/08,150.0,2022/08,150.0,2022/08,150.0,2022/08,64,2022/08,120.0
2022/09,150.0,2022/09,150.0,2022/09,150.0,2022/09,54,2022/09,121.0
2022/10,150.0,2022/10,150.0,2022/10,150.0,2022/10,67,2022/10,150.0
2022/11,150.0,2022/11,150.0,2022/11,150.0,2022/11,60,2022/11,129.0
2022/12,150.0,2022/12,150.0,2022/12,150.0,2022/12,64,2022/12,118.0
2023/01,150.0,2023/01,150.0,2023/01,150.0,2023/01,58,2023/01,116.0
2023/02,150.0,2023/02,150.0,2023/02,150.0,2023/02,46,2023/02,122.0
2023/03,150.0,2023/03,150.0,2023/03,150.0,2023/03,71,2023/03,147.0
2023/04,150.0,2023/04,150.0,2023/04,150.0,2023/04,50,2023/04,145.0
2023/05,150.0,2023/05,150.0,2023/05,150.0,2023/05,54,2023/05,150.0
2023/06,150.0,2023/06,150.0,2023/06,150.0,2023/06,47,2023/06,144.0
2023/07,150.0,2023/07,150.0,2023/07,150.0,2023/07,54,2023/07,150.0
2023/08,150.0,2023/08,150.0,2023/08,150.0,2023/08,57,2023/08,147.0
2023/09,150.0,2023/09,150.0,2023/09,150.0,2023/09,66,2023/09,150.0
2023/10,150.0,2023/10,150.0,2023/10,150.0,2023/10,49,2023/10,149.0
,,,,,,2009/04,0,,
,,,,,,2009/05,12,,
,,,,,,2009/06,16,,
,,,,,,2009/07,14,,
,,,,,,2009/08,31,,
,,,,,,2009/09,21,,
,,,,,,2009/10,17,,
,,,,,,2009/11,18,,
,,,,,,2009/12,24,,
,,,,,,2010/01,51,,
,,,,,,2010/02,53,,
,,,,,,2010/03,30,,
,,,,,,2010/04,17,,
,,,,,,2010/05,26,,
,,,,,,2010/06,20,,
,,,,,,2010/07,20,,
,,,,,,2010/08,29,,
,,,,,,2010/09,26,,
,,,,,,2010/10,22,,
,,,,,,2010/11,22,,
,,,,,,2010/12,19,,
,,,,,,2011/01,49,,
,,,,,,2011/02,28,,
,,,,,,2011/03,35,,
,,,,,,2011/04,30,,
,,,,,,2011/05,30,,
,,,,,,2011/06,23,,
,,,,,,2011/07,45,,
,,,,,,2011/08,47,,
,,,,,,2011/09,54,,
,,,,,,2011/10,60,,
,,,,,,2011/11,56,,
,,,,,,2011/12,61,,
,,,,,,2012/01,66,,
,,,,,,2012/02,73,,
,,,,,,2012/03,65,,
,,,,,,2012/04,72,,
,,,,,,2012/05,65,,
,,,,,,2012/06,69,,
,,,,,,2012/07,75,,
,,,,,,2012/08,95,,
,,,,,,2012/09,74,,
,,,,,,2012/10,70,,
,,,,,,2012/11,73,,
,,,,,,2012/12,91,,
,,,,,,2013/01,114,,
,,,,,,2013/02,107,,
,,,,,,2013/03,99,,
,,,,,,2013/04,98,,
,,,,,,2013/05,92,,
,,,,,,2013/06,85,,
,,,,,,2013/07,101,,
,,,,,,2013/08,103,,
